numrows,time_limit,numagents,numitems,total_value,max_balance_payment,runtime
140.0,10.0,123.0,73.0,985046603.0,27232.825919874944,10.17012770002475
140.0,20.0,123.0,73.0,985046603.0,386.6226601302624,13.975122899981216
140.0,30.0,123.0,73.0,985046603.0,386.6226601302624,14.426667899999302
145.0,10.0,128.0,75.0,991664633.0,1014512.758847292,10.15722660004394
145.0,20.0,128.0,75.0,991664633.0,32434.758847292047,20.24642020004103
145.0,30.0,128.0,75.0,991664633.0,397.3676418960095,17.380331399966963
150.0,10.0,133.0,78.0,1002432644.0,95872.44725746808,10.21453949995339
150.0,20.0,133.0,78.0,1002432644.0,362.3277808399871,18.455974899989087
150.0,30.0,133.0,78.0,1002432644.0,362.3277808399871,17.937044800026342
155.0,10.0,138.0,82.0,1011369456.0,440782.8940464454,10.1621989000123
155.0,20.0,138.0,82.0,1011369456.0,107512.15794524364,20.31919750000816
155.0,30.0,138.0,82.0,1011369456.0,385.5412909090519,20.65447700000368
160.0,10.0,143.0,86.0,1013370823.0,434943.7043133383,10.217058000038378
160.0,20.0,143.0,86.0,1013370823.0,66034.64560323115,20.311942000000272
160.0,30.0,143.0,86.0,1013370823.0,422.1592009961605,21.01425850001397
165.0,10.0,148.0,89.0,1014734127.0,146408.70875550155,10.212019200029316
165.0,20.0,148.0,89.0,1014734127.0,31905.29124449845,20.300332699960563
165.0,30.0,148.0,89.0,1014734127.0,489.4775037765503,20.876547599968035
170.0,10.0,153.0,93.0,1016099019.0,411231.5296809042,10.312115099979565
170.0,20.0,153.0,93.0,1016099019.0,39818.850271819625,20.25753609999083
170.0,30.0,153.0,93.0,1016099019.0,411231.5296809042,105.94176970003171
175.0,10.0,158.0,96.0,1018275684.0,1763239.6835966555,10.791388600016944
175.0,20.0,158.0,96.0,1018275684.0,806451.082159549,20.49511329998495
175.0,30.0,158.0,96.0,1018275684.0,235407.84910832427,30.254090400005225
180.0,10.0,163.0,99.0,1020997539.0,110047.16095245078,10.330086999980267
180.0,20.0,163.0,99.0,1020997539.0,451.87819162011147,20.33211009996012
180.0,30.0,163.0,99.0,1020997539.0,451.87819162011147,20.10831600002712
185.0,10.0,168.0,102.0,1025711210.0,458259.1297196746,10.255212799995206
185.0,20.0,168.0,102.0,1025711210.0,458259.1297196746,20.322239800007083
185.0,30.0,168.0,102.0,1025711210.0,111976.92031111276,30.3008109999937
190.0,10.0,173.0,107.0,1027945839.0,828242.3912031054,10.303517699998338
190.0,20.0,173.0,107.0,1027945839.0,828242.3912031054,20.28942340001231
190.0,30.0,173.0,107.0,1027945839.0,26923.63867872907,30.339173800020944
195.0,10.0,178.0,111.0,1029369168.0,633988.012104243,10.273339100007432
195.0,20.0,178.0,111.0,1029369168.0,566268.987895757,20.29288690001704
195.0,30.0,178.0,111.0,1029369168.0,458372.68219435215,30.30344480002532
200.0,10.0,183.0,112.0,1030101222.0,762452.0640664867,10.296322399983184
200.0,20.0,183.0,112.0,1030101222.0,458299.94019699097,20.30612470000051
200.0,30.0,183.0,112.0,1030101222.0,458299.94019699097,30.38536630000453
205.0,10.0,188.0,114.0,1031791183.0,652396.6218095161,10.325871099950746
205.0,20.0,188.0,114.0,1031791183.0,72080.65798681328,20.338035299966577
205.0,30.0,188.0,114.0,1031791183.0,487.7958465218544,29.009012800001077
210.0,10.0,193.0,117.0,1033144349.0,1242235.8974780445,10.49913369998103
210.0,20.0,193.0,117.0,1033144349.0,176117.98622359708,20.307992800022475
210.0,30.0,193.0,117.0,1033144349.0,99293.17231428115,30.48717989999568
215.0,10.0,198.0,118.0,1034313585.0,630473.9638911983,10.400513800035696
215.0,20.0,198.0,118.0,1034313585.0,210725.3565201154,20.39330809999956
215.0,30.0,198.0,118.0,1034313585.0,240074.6434798846,30.38446189998649
220.0,10.0,203.0,119.0,1035966473.0,959100.7524412572,10.45009450003272
220.0,20.0,203.0,119.0,1035966473.0,491762.54206335545,20.54159769997932
220.0,30.0,203.0,119.0,1035966473.0,498.2475587427616,29.37473359995056
225.0,10.0,208.0,122.0,1036649926.0,458345.207271874,10.31315399997402
225.0,20.0,208.0,122.0,1036649926.0,458345.207271874,20.396505099954084
225.0,30.0,208.0,122.0,1036649926.0,458345.207271874,30.38418570003705
230.0,10.0,213.0,125.0,1065081311.0,1049053.830575168,10.510858300025577
230.0,20.0,213.0,125.0,1065081311.0,1049053.830575168,20.38818100001663
230.0,30.0,213.0,125.0,1065081311.0,1049053.830575168,30.60698440001579
235.0,10.0,218.0,127.0,1067364431.0,1337573.7364206314,10.543032700021286
235.0,20.0,218.0,127.0,1067364431.0,404010.5231474042,20.48771710001165
235.0,30.0,218.0,127.0,1067364431.0,207239.40351146343,30.416186599992216
240.0,10.0,223.0,128.0,1068862526.0,941323.855121146,10.554863500001376
240.0,20.0,223.0,128.0,1068862526.0,667692.6599568971,20.537541700003203
240.0,30.0,223.0,128.0,1068862526.0,639619.6599568971,30.411564000009093
245.0,10.0,228.0,130.0,1072887467.0,1043841.5269173384,10.464438499999233
245.0,20.0,228.0,130.0,1072887467.0,717735.3579653203,20.440333700040355
245.0,30.0,228.0,130.0,1072887467.0,960307.5269173384,30.53005870000925
250.0,10.0,233.0,131.0,1074423811.0,3189416.1825192277,10.50290840002708
250.0,20.0,233.0,131.0,1074423811.0,1043858.4653359056,20.470974199997727
250.0,30.0,233.0,131.0,1074423811.0,1043858.4653359056,30.52728229999775
255.0,10.0,238.0,133.0,1076549900.0,1495991.8310847282,10.534190499980468
255.0,20.0,238.0,133.0,1076549900.0,1016301.6808473688,20.460444500029556
255.0,30.0,238.0,133.0,1076549900.0,594855.7401048995,30.60671849997016
260.0,10.0,243.0,137.0,1083404716.0,484278.184135668,10.594975600019096
260.0,20.0,243.0,137.0,1083404716.0,458719.4753602743,20.50854270003037
260.0,30.0,243.0,137.0,1083404716.0,458719.4753602743,30.511813799967054
170.0,40.0,153.0,93.0,1016099019.0,452.01116490364075,18.616991900024004
170.0,60.0,153.0,93.0,1016099019.0,452.01116490364075,20.598426299984567
180.0,40.0,163.0,99.0,1020997539.0,451.87819162011147,19.56483210006263
180.0,60.0,163.0,99.0,1020997539.0,451.87819162011147,18.381519600050524
190.0,40.0,173.0,107.0,1027945839.0,556.1358588933945,35.017915899981745
190.0,60.0,173.0,107.0,1027945839.0,556.1358588933945,34.61715060006827
200.0,40.0,183.0,112.0,1030101222.0,240075.43355663586,40.32160959998146
200.0,60.0,183.0,112.0,1030101222.0,484.9285497367382,49.98019029991701
210.0,40.0,193.0,117.0,1033144349.0,506.6680866777897,36.52053970005363
210.0,60.0,193.0,117.0,1033144349.0,506.6680866777897,37.70497879991308
220.0,40.0,203.0,119.0,1035966473.0,498.2475587427616,27.179021800053306
220.0,60.0,203.0,119.0,1035966473.0,498.2475587427616,26.85816399997566
230.0,40.0,213.0,125.0,1065081311.0,516415.7330011567,40.410364000010304
230.0,60.0,213.0,125.0,1065081311.0,433149.7934986949,60.40191260003485
240.0,40.0,223.0,128.0,1068862526.0,96688.0213812571,40.52007329999469
240.0,60.0,223.0,128.0,1068862526.0,26924.792950243223,60.673374000005424
250.0,40.0,233.0,131.0,1074423811.0,185981.84464745084,40.53127569996286
250.0,60.0,233.0,131.0,1074423811.0,50785.784407328,60.55032849998679
260.0,40.0,243.0,137.0,1083404716.0,94914.35955724993,40.504345800029114
260.0,60.0,243.0,137.0,1083404716.0,87538.86030147917,60.536013299948536
270.0,20.0,253.0,141.0,1104276594.0,879482.834433645,20.61426149995532
270.0,40.0,253.0,141.0,1104276594.0,458755.4901564121,40.68096360005438
270.0,60.0,253.0,141.0,1104276594.0,458755.4901564121,60.62089340004604
280.0,20.0,263.0,145.0,1115031137.0,676348.7634754335,20.53803010005504
280.0,40.0,263.0,145.0,1115031137.0,298088.92029282125,40.5511440000264
280.0,60.0,263.0,145.0,1115031137.0,855.9666860699654,60.63709759991616
290.0,20.0,273.0,150.0,1124779242.0,1398758.2496171296,20.654008300043643
290.0,40.0,273.0,150.0,1124779242.0,285351.8590795705,40.721324499929324
290.0,60.0,273.0,150.0,1124779242.0,220998.1347549649,60.66896549996454
300.0,20.0,280.0,154.0,1130129698.0,3544271.1162085235,20.54227059998084
300.0,40.0,280.0,154.0,1130129698.0,4414108.789011896,40.58960200008005
300.0,60.0,280.0,154.0,1130129698.0,2053028.1162085235,60.71981939999387
310.0,20.0,287.0,160.0,1154618184.0,2826128.30327484,20.64878269995097
310.0,40.0,287.0,160.0,1154618184.0,701302.4414710887,40.68332909990568
310.0,60.0,287.0,160.0,1154618184.0,701302.4414710887,60.73608649999369
320.0,20.0,297.0,163.0,1164246358.0,4185422.4663711675,20.726550999912433
320.0,40.0,297.0,163.0,1164246358.0,2720538.810114503,40.70488510001451
320.0,60.0,297.0,163.0,1164246358.0,943569.8101145029,60.79387950000819
330.0,20.0,303.0,172.0,1171170349.0,6059162.081845999,20.59544609999284
330.0,40.0,303.0,172.0,1171170349.0,1438744.6338597033,40.82818219996989
330.0,60.0,303.0,172.0,1171170349.0,1438744.6338597033,60.850313199916855
